dimension,dimension_label,factor_curie,factor_label,factor_verbatim_label,framework,framework_label,external_curie,external_label,external_verbatim_label,match_strength,source_refs,note
ehs:HumanContext,Human context,ehs:ProceduresGuidanceAndInstructions,"Procedures, guidance and instructions","Procedures, guidance, and instructions",xw:fw-CREAM,CREAM,xw:cream-AvailabilityOfProcedures,Availability of procedures and plans,Availability of procedures and plans,close,hollnagel1998,
ehs:HumanContext,Human context,ehs:ProceduresGuidanceAndInstructions,"Procedures, guidance and instructions","Procedures, guidance, and instructions",xw:fw-HFACS,HFACS,xw:hfacs-OperationalProcess,Operational process,Operational Process,broader,shappell2006,HFACS has no procedures category at the precondition level; the nearest home is the organisational-level operational process.
ehs:HumanContext,Human context,ehs:ProceduresGuidanceAndInstructions,"Procedures, guidance and instructions","Procedures, guidance, and instructions",xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-PreparationForTask,Preparation for task,"Preparation for task (e.g. permits, risk assessments, checking)",partial,hse_pifs,
ehs:HumanContext,Human context,ehs:ProceduresGuidanceAndInstructions,"Procedures, guidance and instructions","Procedures, guidance, and instructions",xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-ProceduresInadequate,Procedures inadequate or inappropriate,Procedures inadequate or inappropriate,close,hse_pifs,
ehs:HumanContext,Human context,ehs:ProceduresGuidanceAndInstructions,"Procedures, guidance and instructions","Procedures, guidance, and instructions",xw:fw-SPARH,SPAR-H,xw:sparh-Procedures,Procedures,Procedures (including job aids),close,gertman2005,
ehs:HumanContext,Human context,ehs:Staffing,Staffing,Staffing,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfOrganisation,Adequacy of organisation,Adequacy of organization,broader,hollnagel1998,
ehs:HumanContext,Human context,ehs:Staffing,Staffing,Staffing,xw:fw-HFACS,HFACS,xw:hfacs-ResourceManagement,Resource management,Resource Management,close,shappell2006,Note the level shift: a precondition-level factor here maps to an organisational-level HFACS category.
ehs:HumanContext,Human context,ehs:Staffing,Staffing,Staffing,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-ManningLevels,Manning levels,Manning levels,close,hse_pifs,
ehs:HumanContext,Human context,ehs:Staffing,Staffing,Staffing,xw:fw-SPARH,SPAR-H,xw:sparh-WorkProcesses,Work processes,Work processes,partial,gertman2005,SPAR-H has no staffing PSF. Staffing adequacy falls inside its work-processes PSF only by implication.
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfOrganisation,Adequacy of organisation,Adequacy of organization,close,hollnagel1998,
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-CREAM,CREAM,xw:cream-CrewCollaborationQuality,Crew collaboration quality,Crew collaboration quality,close,hollnagel1998,
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-HFACS,HFACS,xw:hfacs-CrewResourceManagement,Crew resource management,Crew Resource Management,close,shappell2000,
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-HFACS,HFACS,xw:hfacs-OrganizationalClimate,Organizational climate,Organizational Climate,partial,shappell2006,
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-ClarityOfRoles,Clarity of roles and responsibilities,Clarity of roles and responsibilities,partial,hse_pifs,
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-CommunicationOrg,Communication (organisation),Communication,partial,hse_pifs,"One local factor absorbing four HSE organisation factors is a sign of coarseness, not of coverage."
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-SupervisionLeadership,Level and nature of supervision/leadership,Level and nature of supervision / leadership,partial,hse_pifs,
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-SafetyCulture,Organisational or safety culture,"Organisational or safety culture, e.g. everyone breaks the rules",partial,hse_pifs,
ehs:HumanContext,Human context,ehs:TeamAndOrganizationFactors,Team and organisation factors,Team and organization factors,xw:fw-SPARH,SPAR-H,xw:sparh-WorkProcesses,Work processes,Work processes,partial,gertman2005,
ehs:HumanContext,Human context,ehs:Training,Training,Training,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfTrainingAndExperience,Adequacy of training and experience,Adequacy of training and experience,close,hollnagel1998,
ehs:HumanContext,Human context,ehs:Training,Training,Training,xw:fw-HFACS,HFACS,xw:hfacs-InadequateSupervision,Inadequate supervision,Inadequate Supervision,partial,shappell2000,
ehs:HumanContext,Human context,ehs:Training,Training,Training,xw:fw-HFACS,HFACS,xw:hfacs-ResourceManagement,Resource management,Resource Management,partial,shappell2006,Interpretive. HFACS distributes training deficiency across organisational resource management and supervisory failure rather than giving it a precondition category.
ehs:HumanContext,Human context,ehs:Training,Training,Training,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-Competence,Competence,Competence to deal with circumstances,close,hse_pifs,
ehs:HumanContext,Human context,ehs:Training,Training,Training,xw:fw-SPARH,SPAR-H,xw:sparh-ExperienceAndTraining,Experience and training,Experience and training,close,gertman2005,
ehs:HumanContext,Human context,ehs:WorkProcesses,Work processes,Work processes,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfOrganisation,Adequacy of organisation,Adequacy of organization,broader,hollnagel1998,
ehs:HumanContext,Human context,ehs:WorkProcesses,Work processes,Work processes,xw:fw-HFACS,HFACS,xw:hfacs-OperationalProcess,Operational process,Operational Process,close,shappell2006,
ehs:HumanContext,Human context,ehs:WorkProcesses,Work processes,Work processes,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-ConsequencesOfFailure,Consequences of failure to follow rules/procedures,Consequences of failure to follow rules/procedures,partial,hse_pifs,
ehs:HumanContext,Human context,ehs:WorkProcesses,Work processes,Work processes,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-WorkPressures,Work pressures,Work pressures e.g. production vs. safety,partial,hse_pifs,
ehs:HumanContext,Human context,ehs:WorkProcesses,Work processes,Work processes,xw:fw-SPARH,SPAR-H,xw:sparh-WorkProcesses,Work processes,Work processes,close,gertman2005,Identical label in both frameworks; IDHEAS-G took the term from SPAR-H.
ehs:OperationalContext,Operational context,ehs:NoiseAndCommunicationPathways,Noise and communication pathways,Noise in workplace and communication pathways,xw:fw-CREAM,CREAM,xw:cream-CrewCollaborationQuality,Crew collaboration quality,Crew collaboration quality,partial,hollnagel1998,Only the communication-pathway half of the local factor overlaps.
ehs:OperationalContext,Operational context,ehs:NoiseAndCommunicationPathways,Noise and communication pathways,Noise in workplace and communication pathways,xw:fw-CREAM,CREAM,xw:cream-WorkingConditions,Working conditions,Working conditions,broader,hollnagel1998,
ehs:OperationalContext,Operational context,ehs:NoiseAndCommunicationPathways,Noise and communication pathways,Noise in workplace and communication pathways,xw:fw-HFACS,HFACS,xw:hfacs-PhysicalEnvironment,Physical environment,Physical Environment,broader,shappell2006,
ehs:OperationalContext,Operational context,ehs:NoiseAndCommunicationPathways,Noise and communication pathways,Noise in workplace and communication pathways,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-CommunicationJob,Communication (job),"Communication, with colleagues, supervision, contractor, other",partial,hse_pifs,
ehs:OperationalContext,Operational context,ehs:NoiseAndCommunicationPathways,Noise and communication pathways,Noise in workplace and communication pathways,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-WorkingEnvironment,Working environment,"Working environment (noise, heat, space, lighting, ventilation)",broader,hse_pifs,
ehs:OperationalContext,Operational context,ehs:NoiseAndCommunicationPathways,Noise and communication pathways,Noise in workplace and communication pathways,xw:fw-SPARH,SPAR-H,,,,none,,Asserted absence: no counterpart in this framework.
ehs:OperationalContext,Operational context,ehs:ResistanceToPhysicalMovement,Resistance to physical movement,Resistance to physical movement,xw:fw-CREAM,CREAM,xw:cream-WorkingConditions,Working conditions,Working conditions,broader,hollnagel1998,
ehs:OperationalContext,Operational context,ehs:ResistanceToPhysicalMovement,Resistance to physical movement,Resistance to physical movement,xw:fw-HFACS,HFACS,xw:hfacs-PhysicalEnvironment,Physical environment,Physical Environment,broader,shappell2006,
ehs:OperationalContext,Operational context,ehs:ResistanceToPhysicalMovement,Resistance to physical movement,Resistance to physical movement,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-WorkingEnvironment,Working environment,"Working environment (noise, heat, space, lighting, ventilation)",broader,hse_pifs,
ehs:OperationalContext,Operational context,ehs:ResistanceToPhysicalMovement,Resistance to physical movement,Resistance to physical movement,xw:fw-SPARH,SPAR-H,,,,none,,Asserted absence: no counterpart in this framework.
ehs:OperationalContext,Operational context,ehs:ThermalConditions,Thermal conditions,Cold/heat/humidity,xw:fw-CREAM,CREAM,xw:cream-WorkingConditions,Working conditions,Working conditions,broader,hollnagel1998,
ehs:OperationalContext,Operational context,ehs:ThermalConditions,Thermal conditions,Cold/heat/humidity,xw:fw-HFACS,HFACS,xw:hfacs-PhysicalEnvironment,Physical environment,Physical Environment,broader,shappell2006,
ehs:OperationalContext,Operational context,ehs:ThermalConditions,Thermal conditions,Cold/heat/humidity,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-WorkingEnvironment,Working environment,"Working environment (noise, heat, space, lighting, ventilation)",broader,hse_pifs,
ehs:OperationalContext,Operational context,ehs:ThermalConditions,Thermal conditions,Cold/heat/humidity,xw:fw-SPARH,SPAR-H,,,,none,,Asserted absence: no counterpart in this framework.
ehs:OperationalContext,Operational context,ehs:WorkplaceAccessibilityAndHabitability,Workplace accessibility and habitability,Accessibility/habitability of workplace including travel paths,xw:fw-CREAM,CREAM,xw:cream-WorkingConditions,Working conditions,Working conditions,broader,hollnagel1998,
ehs:OperationalContext,Operational context,ehs:WorkplaceAccessibilityAndHabitability,Workplace accessibility and habitability,Accessibility/habitability of workplace including travel paths,xw:fw-HFACS,HFACS,xw:hfacs-PhysicalEnvironment,Physical environment,Physical Environment,broader,shappell2006,
